temp,from,to,count
2,gramercy,JFK,14
2,bedford-stuyvesant,fort green,1
2,lower east side,upper east side,8
2,soho,upper west side,4
2,JFK,annandale,1
2,chelsea,clinton,45
2,carnegie hill,chelsea,4
2,east village,gramercy,26
2,garment district,battery park,5
2,soho,soho,9
2,yorkville,university heights,1
2,midtown,east village,24
2,LGA,little italy,2
2,carnegie hill,garment district,3
2,greenwich village,midtown,43
2,LGA,mott haven,1
2,chelsea,yorkville,1
2,chinatown,lower east side,2
2,soho,little italy,4
2,JFK,saintalbans,3
2,LGA,gramercy,22
2,chelsea,lower east side,8
2,JFK,greenwich village,12
2,JFK,parkchester,1
2,little italy,central park,1
2,mott haven,LGA,1
2,gramercy,murray hill,86
2,east harlem,east village,1
2,battery park,financial district,9
2,little italy,lower east side,4
2,lower east side,gramercy,12
2,garment district,hamilton heights,1
2,east village,flushing,1
2,gramercy,north sutton area,9
2,lower east side,bedford-stuyvesant,1
2,garment district,garment district,45
2,garment district,east harlem,2
2,bushwick,bedford-stuyvesant,1
2,lower east side,little italy,2
2,gramercy,battery park,5
2,battery park,cobble hill,1
2,east village,west village,10
2,gramercy,woodside,2
2,west village,chelsea,25
2,LGA,chinatown,1
2,garment district,utopia,1
2,yorkville,upper west side,9
2,harlem,south bronx,1
2,lower east side,upper west side,1
2,LGA,riverdale,2
2,gramercy,midtown,143
2,gramercy,carroll gardens,1
2,harlem,east harlem,2
2,little italy,williamsburg,1
2,upper west side,west village,4
2,midtown,clinton,118
2,upper east side,chelsea,33
2,soho,garment district,24
2,LGA,midtown,72
2,tribeca,greenwich village,12
2,morningside heights,LGA,4
2,JFK,sunny side,9
2,clinton,LGA,4
2,LGA,morningside heights,14
2,chelsea,chinatown,16
2,fort green,chelsea,3
2,LGA,east village,31
2,murray hill,east harlem,6
2,boerum hill,astoria-long island city,1
2,woodside,midtown,2
2,sunny side,park slope,3
2,west village,LGA,11
2,yorkville,LGA,5
2,LGA,union port,2
2,battery park,battery park,66
2,sunny side,little italy,2
2,jackson height,sunny side,4
2,little italy,boerum hill,2
2,kings bridge,fordham,1
2,JFK,high bridge,4
2,east village,brooklyn-downtown,3
2,gramercy,clinton,221
2,upper east side,north sutton area,227
2,battery park,east village,40
2,north sutton area,murray hill,64
2,JFK,laurelton,3
2,east harlem,bedford park,1
2,lower east side,williamsburg,61
2,LGA,canarsie,2
2,harlem,gramercy,13
2,west village,fort green,5
2,east village,LGA,18
2,boerum hill,williamsburg,4
2,east harlem,JFK,5
2,upper east side,queens village,2
2,kwq gardens,greenwich village,1
2,park slope,west village,4
2,boerum hill,park slope,10
2,harlem,yorkville,18
2,murray hill,carnegie hill,10
2,washington heights,JFK,1
2,greenwich village,bay ridge,4
2,chelsea,boerum hill,3
2,chinatown,brooklyn-downtown,4
2,little italy,garment district,59
2,harlem,garment district,6
2,harlem,east harlem,41
2,midtown,east brooklyn,3
2,east village,riverdale,2
2,upper west side,south bronx,7
2,west village,north sutton area,9
2,mapleton-flatlands,JFK,1
2,east village,forest hills,1
2,central park,brooklyn-downtown,1
2,financial district,battery park,118
2,lower east side,washington heights,4
2,tribeca,williamsburg,17
2,williamsburg,brooklyn-downtown,1
2,yorkville,fordham,1
2,garment district,Auburndale,1
2,clinton,sunny side,6
2,gramercy,south bronx,1
2,north sutton area,JFK,8
2,upper west side,LGA,54
2,upper west side,chelsea,235
2,battery park,little italy,13
2,yorkville,mott haven,5
2,upper east side,boerum hill,3
2,upper west side,kwq gardens,1
2,midtown,high bridge,2
2,yorkville,east harlem,46
2,mapleton-flatlands,greewood,2
2,midtown,mapleton-flatlands,2
2,harlem,bedford-stuyvesant,1
2,park slope,borough park,2
2,harlem,upper east side,37
2,garment district,south bronx,2
2,carnegie hill,carroll gardens,1
2,chinatown,fort green,5
2,bedford-stuyvesant,chelsea,1
2,brooklyn-downtown,chelsea,4
2,williamsburg,ridgewood,3
2,greenwich village,central park,28
2,woodside,maspeth,1
2,greenwich village,brooklyn-downtown,5
2,midtown,tremont,1
2,financial district,carroll gardens,8
2,little italy,jackson height,1
2,battery park,JFK,9
2,soho,fort green,10
2,gramercy,woodhaven-richmond hill,1
2,chelsea,upper west side,282
2,clinton,east brooklyn,1
2,battery park,central park,7
2,yorkville,chelsea,18
2,greenwich village,utopia,1
2,clinton,brooklyn-downtown,5
2,midtown,LGA,180
2,morningside heights,upper west side,116
2,JFK,dyker heights,3
2,garment district,upper west side,280
2,lower east side,carnegie hill,2
2,tremont,washington heights,1
2,greewood,carroll gardens,3
2,chelsea,central park,70
2,LGA,battery park,8
2,hamilton heights,morris park,2
2,east village,boerum hill,3
2,gramercy,upper east side,548
2,murray hill,morningside heights,2
2,LGA,country club,4
2,upper east side,south bronx,5
2,gramercy,greewood,2
2,park slope,brooklyn-downtown,1
2,midtown,forest hills,13
