YR--MODAHRMN,TEMP
201507220751,75
201507220851,75
201507220900,78
201507220951,79
201507221051,82
201507221151,82
201507221200,84
201507221251,86
201507221351,86
201507221451,86
201507221500,87
201507221551,88
201507221651,87
201507221751,87
201507221800,86
201507221851,83
201507221951,82
201507222051,82
201507222100,80
201507222151,79
201507222251,78
201507222351,78
201507230000,78
201507230051,76
201507230151,****
201507230251,75
201507230300,75
201507230351,74
201507230451,73
201507230459,72
201507230551,72
201507230600,71
201507230651,73
201507230751,76
201507230851,76
201507230900,78
201507230951,79
201507231051,82
201507231151,82
201507231200,82
201507231251,86
201507231351,86
201507231451,86
201507231500,86
201507231551,83
201507231651,84
201507231751,84
201507231800,81
201507231851,80
201507231951,78
201507232051,76
201507232100,76
201507232114,80
201507232151,79
201507232251,78
201507232351,78
201507240000,77
201507240051,76
201507240151,****
201507240251,76
201507240300,76
201507240351,72
201507240451,74
201507240459,71
201507240551,71
201507240600,70
201507240651,73
201507240751,76
201507240851,76
201507240900,78
201507240951,81
201507241051,82
201507241151,82
201507241200,83
201507241251,87
201507241351,84
201507241451,84
201507241500,82
201507241551,85
201507241651,81
201507241751,81
201507241800,80
201507241851,78
201507241951,77
201507242051,77
201507242100,74
201507242151,74
201507242251,75
201507242351,75
201507250000,76
201507250051,73
201507250151,****
201507250251,73
201507250300,73
201507250351,73
201507250451,73
201507250459,71
201507250551,71
201507250600,70
201507250651,73
201507250751,77
201507250851,77
201507250900,80
201507250951,83
201507251051,83
201507251151,83
201507251200,82
201507251251,82
201507251351,84
201507251451,84
201507251500,83
201507251551,83
201507251651,82
201507251751,82
201507251800,81
201507251851,79
201507251951,77
201507252051,77
201507252100,76
201507252151,75
201507252251,76
201507252351,76
201507260000,75
201507260051,76
201507260151,****
201507260251,75
201507260300,75
201507260351,74
201507260451,73
201507260459,72
201507260551,72
201507260600,72
201507260651,75
201507260751,76
201507260851,76
201507260900,79
201507260951,81
201507261051,83
201507261151,83
201507261200,84
201507261251,86
201507261351,87
201507261451,87
201507261500,86
201507261551,86
201507261651,82
201507261751,82
201507261800,81
201507261851,79
201507261951,78
201507262051,78
201507262100,78
201507262151,77
201507262251,77
201507262351,77
201507270000,77
201507270051,76
201507270151,****
201507270251,76
201507270300,76
201507270351,75
201507270451,76
201507270459,75
201507270551,75
201507270600,75
201507270651,75
201507270751,75
201507270851,75
201507270900,77
201507270951,79
201507271051,79
201507271151,79
201507271200,82
201507271251,83
201507271351,83
201507271451,83
201507271500,84
201507271551,83
201507271651,82
201507271751,82
201507271800,82
201507271851,80
201507271951,78
201507272051,78
201507272100,77
201507272151,77
201507272251,76
201507272351,76
201507280000,75
201507280051,75
201507280151,****
201507280251,75
201507280300,75
201507280351,75
201507280451,74
201507280459,73
201507280551,73
201507280600,73
201507280651,74
201507280751,77
201507280851,77
201507280900,79
201507280951,81
201507281051,82
201507281151,82
201507281200,85
201507281251,88
201507281351,88
201507281451,88
201507281500,88
201507281551,88
201507281651,85
201507281751,85
201507281800,84
201507281851,83
201507281951,80
201507282051,80
201507282100,80
201507282151,80
201507282251,80
201507282351,80
201507290000,80
201507290051,78
201507290151,****
201507290251,78
201507290300,78
201507290351,77
201507290451,76
201507290459,75
201507290551,75
201507290600,75
201507290651,81
201507290751,86
201507290851,86
201507290900,89
201507290951,93
201507291051,95
201507291151,95
201507291200,92
201507291251,91
201507291351,91
201507291451,91
201507291500,92
201507291551,89
201507291651,88
201507291751,88
201507291800,86
201507291851,83
201507291951,81
201507292051,81
201507292100,82
201507292151,83
201507292251,82
201507292351,82
201507300000,80
201507300051,79
201507300151,****
201507300251,78
201507300300,78
201507300351,76
201507300451,77
201507300459,76
201507300551,76
201507300600,76
201507300651,77
201507300751,79
201507300851,79
201507300900,79
201507300951,79
201507301051,77
201507301151,77
201507301200,77
201507301251,77
201507301300,79
201507301322,80
201507301342,80
201507301351,83
201507301401,81
201507301449,83
201507301451,83
201507301500,80
201507301551,81
201507301651,80
201507301751,79
201507301800,79
201507301851,78
201507301947,78
201507301951,77
201507302021,77
201507302049,77
201507302051,79
201507302100,77
201507302111,77
201507302148,77
201507302151,76
201507302210,76
201507302251,77
201507302351,77
201507310000,77
201507310051,77
201507310151,****
201507310251,77
201507310300,77
201507310351,76
201507310451,76
201507310459,76
201507310551,76
201507310600,74
201507310651,76
201507310751,79
201507310851,79
201507310900,82
201507310951,85
201507311051,85
201507311151,85
201507311200,89
201507311251,90
201507311351,92
201507311451,92
201507311500,92
201507311551,85
201507311651,87
201507311751,87
201507311800,86
201507311851,86
201507311951,87
201507312051,87
201507312100,84
201507312151,83
201507312251,77
201507312351,77
201508010000,76
201508010051,77
201508010151,****
201508010251,76
201508010300,76
201508010351,77
201508010451,76
201508010459,75
201508010551,75
201508010600,74
201508010651,75
201508010751,78
201508010851,78
201508010900,80
201508010951,81
201508011051,84
201508011151,84
201508011200,84
201508011251,88
201508011351,89
201508011451,89
201508011500,90
201508011551,90
201508011651,88
201508011751,88
201508011800,89
201508011851,88
201508011951,86
201508012051,86
201508012100,84
201508012151,83
201508012251,82
201508012351,82
201508020000,81
201508020051,80
201508020151,****
201508020251,78
201508020300,78
201508020351,77
201508020451,76
201508020459,72
201508020551,72
201508020600,72
201508020651,75
201508020751,78
201508020851,78
201508020900,81
201508020951,83
201508021051,84
201508021151,84
201508021200,85
201508021251,86
201508021351,86
201508021451,86
201508021500,86
201508021551,86
201508021651,85
201508021751,85
201508021800,84
201508021851,82
201508021951,80
201508022051,80
201508022100,78
201508022151,78
201508022251,76
201508022351,76
201508030000,77
201508030051,76
201508030151,****
201508030251,75
201508030300,75
201508030351,74
201508030451,73
201508030459,72
201508030551,72
201508030600,72
201508030651,74
201508030751,76
201508030851,76
201508030900,79
201508030951,82
201508031051,83
201508031151,83
201508031200,84
201508031251,86
201508031351,86
201508031451,86
201508031500,88
201508031551,86
201508031651,84
201508031751,84
201508031800,82
201508031851,81
201508031951,79
201508032051,79
201508032100,79
201508032151,80
201508032251,76
201508032351,76
201508040000,77
201508040051,77
201508040151,****
201508040251,76
201508040300,76
201508040351,76
201508040451,77
201508040459,77
201508040551,73
201508040600,73
201508040651,73
201508040751,72
201508040813,71
201508040829,72
201508040851,74
201508040900,74
201508040909,76
201508040951,80
201508041051,82
201508041151,82
201508041200,84
201508041251,88
201508041351,90
201508041451,90
201508041500,91
201508041551,92
201508041651,92
201508041751,92
201508041800,89
201508041851,89
201508041951,87
201508042051,87
201508042100,86
201508042151,84
201508042251,83
201508042351,83
201508050000,81
201508050051,78
201508050151,****
201508050251,77
201508050300,77
201508050351,75
201508050451,72
201508050459,73
201508050551,73
201508050600,72
201508050651,74
201508050751,79
201508050851,79
201508050900,81
201508050951,84
201508051051,86
201508051151,86
201508051200,87
201508051251,87
201508051351,85
201508051451,85
201508051500,91
201508051551,88
201508051651,90
201508051751,90
201508051800,87
201508051851,84
201508051951,84
201508052051,83
201508052100,83
201508052151,81
201508052244,80
201508052251,79
201508052351,79
201508060000,77
201508060051,75
201508060151,****
201508060251,74
201508060300,74
201508060351,73
201508060451,71
201508060459,70
201508060551,70
201508060600,69
201508060651,71
201508060751,74
201508060851,74
201508060900,77
201508060951,78
201508061051,79
201508061151,79
201508061200,81
201508061251,82
201508061351,83
201508061451,83
201508061500,84
201508061551,83
201508061651,80
201508061751,80
201508061800,80
201508061851,77
201508061951,75
201508062051,75
201508062100,75
201508062151,74
201508062251,74
201508062351,74
201508070000,74
201508070051,75
201508070151,****
201508070251,74
201508070300,74
201508070351,73
201508070451,72
201508070459,71
201508070551,71
201508070600,69
201508070651,70
201508070751,73
201508070851,73
201508070900,77
201508070951,80
201508071051,81
201508071151,81
201508071200,83
201508071251,85
201508071351,83
201508071451,83
201508071500,82
201508071551,83
201508071651,82
201508071751,81
201508071800,81
201508071824,80
201508071851,78
201508071951,76
201508072051,76
201508072100,74
201508072151,73
201508072251,73
201508072351,73
201508080000,71
201508080051,71
201508080151,****
201508080251,71
201508080300,71
201508080351,69
201508080451,68
201508080459,68
201508080551,68
201508080600,68
201508080651,69
201508080751,73
201508080851,73
201508080900,76
201508080951,78
201508081051,81
201508081151,81
201508081200,81
201508081251,82
201508081351,83
201508081451,83
201508081500,81
201508081551,80
201508081651,78
201508081751,78
201508081800,77
201508081851,76
201508081951,75
201508082051,75
201508082100,73
201508082151,73
201508082251,72
201508082351,72
201508090000,71
201508090051,69
201508090151,****
201508090251,70
201508090300,70
201508090351,69
201508090451,68
201508090459,68
201508090551,68
201508090600,68
201508090651,70
201508090751,74
201508090851,74
201508090900,77
201508090951,80
201508091051,81
201508091151,81
201508091200,83
201508091251,83
201508091351,85
201508091451,85
201508091500,86
201508091551,82
201508091651,80
201508091751,80
201508091800,80
201508091851,78
201508091924,76
201508091951,74
201508092051,74
201508092100,73
201508092151,73
201508092251,72
201508092351,72
201508100000,71
201508100051,71
201508100151,****
201508100251,72
201508100300,72
201508100351,72
201508100451,72
201508100459,71
201508100551,71
201508100600,68
201508100651,70
201508100751,74
201508100851,74
201508100900,76
201508100951,77
201508101051,78
201508101151,78
201508101200,80
201508101251,80
201508101351,79
201508101451,79
201508101500,80
201508101551,78
201508101651,79
201508101751,79
201508101800,77
201508101851,76
201508101951,76
201508102051,76
201508102100,76
201508102151,76
201508102251,76
201508102351,76
201508110000,76
201508110051,76
201508110151,****
201508110251,76
201508110300,76
201508110351,76
201508110451,76
201508110459,75
201508110551,75
201508110600,75
201508110651,74
201508110751,73
201508110851,74
201508110900,73
201508110937,73
201508110951,73
201508111049,73
201508111051,73
201508111104,72
201508111112,72
201508111144,73
201508111151,73
201508111200,73
201508111228,73
201508111251,75
201508111351,75
201508111432,77
201508111451,75
